"timesteps","Variabilidade - _step","Variabilidade - _step__MIN","Variabilidade - _step__MAX","Variabilidade - mean_reward_test","Variabilidade - mean_reward_test__MIN","Variabilidade - mean_reward_test__MAX","Sustentabilidade - _step","Sustentabilidade - _step__MIN","Sustentabilidade - _step__MAX","Sustentabilidade - mean_reward_test","Sustentabilidade - mean_reward_test__MIN","Sustentabilidade - mean_reward_test__MAX","Lucro - _step","Lucro - _step__MIN","Lucro - _step__MAX","Lucro - mean_reward_test","Lucro - mean_reward_test__MIN","Lucro - mean_reward_test__MAX"
"322816","650727.5","650717","650732","351.6673028800001","351.6673028800001","351.6673028800001","650727.5","650717","650732","219.18489025000002","219.18489025","219.18489025","650727.5","650717","650732","422.3191427800001","422.31914278000005","422.31914278000005"
"326144","657436.5","657426","657441","367.16727182","367.16727182","367.16727182","657436.5","657426","657441","212.64549171000002","212.64549171000002","212.64549171000002","657436.5","657426","657441","428.73532917999995","428.73532917999995","428.73532917999995"
"329472","664145.5","664135","664150","365.25017760999987","365.25017760999987","365.25017760999987","664145.5","664135","664150","224.54092956999995","224.54092956999997","224.54092956999997","664145.5","664135","664150","455.28191608000003","455.28191608000003","455.28191608000003"
"332800","670853.5","670843","670858","383.47692667999996","383.47692668","383.47692668","670853.5","670843","670858","225.13680269000002","225.13680269000005","225.13680269000005","670853.5","670843","670858","443.81370488000005","443.8137048800001","443.8137048800001"
"336128","677562.5","677552","677567","391.7941928","391.7941928","391.7941928","677562.5","677552","677567","235.19512274999994","235.19512274999997","235.19512274999997","677562.5","677552","677567","419.83800807999984","419.83800807999984","419.83800807999984"
"339456","684270.5","684260","684275","395.58064050999997","395.58064050999997","395.58064050999997","684270.5","684260","684275","221.74923680999999","221.74923681","221.74923681","684270.5","684260","684275","399.37498795","399.37498794999993","399.37498794999993"
"342784","690979.5","690969","690984","400.29870479999994","400.2987047999999","400.2987047999999","690979.5","690969","690984","250.8055672","250.8055672","250.8055672","690979.5","690969","690984","388.4798762","388.4798762","388.4798762"
"346112","697688.5","697678","697693","390.24235691999996","390.24235691999996","390.24235691999996","697688.5","697678","697693","257.71821908","257.71821908","257.71821908","697688.5","697678","697693","394.70222605999993","394.70222605999993","394.70222605999993"
"349440","704396.5","704386","704401","388.30535564999997","388.30535564999997","388.30535564999997","704396.5","704386","704401","266.12678493","266.12678493","266.12678493","704396.5","704386","704401","394.5762776700001","394.5762776700001","394.5762776700001"
"352768","711105.5","711095","711110","372.96091854","372.9609185400001","372.9609185400001","711105.5","711095","711110","257.23842125000004","257.23842125","257.23842125","711105.5","711095","711110","415.98421349999995","415.98421349999995","415.98421349999995"
"356096","717813.5","717803","717818","387.75271879","387.75271879","387.75271879","717813.5","717803","717818","257.15814071999995","257.15814071999995","257.15814071999995","717813.5","717803","717818","409.89696586","409.8969658600001","409.8969658600001"
"359424","724522.5","724512","724527","372.2147865000001","372.21478650000006","372.21478650000006","724522.5","724512","724527","256.0164435","256.0164435","256.0164435","724522.5","724512","724527","413.31565848","413.3156584800001","413.3156584800001"
"362752","731231.5","731221","731236","395.56512215","395.56512215","395.56512215","731231.5","731221","731236","264.88073725","264.88073725","264.88073725","731231.5","731221","731236","405.19428102999996","405.19428102999996","405.19428102999996"
"366080","737939.5","737929","737944","415.7884437100001","415.7884437100001","415.7884437100001","737939.5","737929","737944","249.1576777","249.1576777","249.1576777","737939.5","737929","737944","422.86643388","422.86643388000005","422.86643388000005"
"369408","744648.5","744638","744653","421.91128919","421.91128919000005","421.91128919000005","744648.5","744638","744653","234.06366759000005","234.06366759000005","234.06366759000005","744648.5","744638","744653","426.71182585","426.71182585","426.71182585"
"372736","751357.5","751347","751362","390.02444217","390.02444217","390.02444217","751357.5","751347","751362","216.80357069999997","216.80357070000002","216.80357070000002","751357.5","751347","751362","431.4346865900001","431.43468659000007","431.43468659000007"
"376064","758065.5","758055","758070","374.84086694","374.84086693999996","374.84086693999996","758065.5","758055","758070","217.53774961999994","217.53774962","217.53774962","758065.5","758055","758070","416.92402295000005","416.92402295","416.92402295"
"379392","764774.5","764764","764779","397.7994799100001","397.79947991000006","397.79947991000006","764774.5","764764","764779","239.06133591","239.06133590999997","239.06133590999997","764774.5","764764","764779","440.70124119","440.70124119","440.70124119"
"382720","771482.5","771472","771487","445.72163588","445.72163587999995","445.72163587999995","771482.5","771472","771487","245.61835264999996","245.61835265000002","245.61835265000002","771482.5","771472","771487","437.5551968499999","437.5551968499999","437.5551968499999"
"386048","778191.5","778181","778196","433.2112041599999","433.21120415999997","433.21120415999997","778191.5","778181","778196","248.78530293","248.78530293000003","248.78530293000003","778191.5","778181","778196","436.6997032099999","436.69970320999994","436.69970320999994"
"389376","784900.5","784890","784905","437.0954161700001","437.09541617","437.09541617","784900.5","784890","784905","223.32752671","223.32752670999997","223.32752670999997","784900.5","784890","784905","411.3513387600001","411.3513387600001","411.3513387600001"
"392704","791608.5","791598","791613","388.76091649000006","388.7609164900001","388.7609164900001","791608.5","791598","791613","205.4578569","205.4578569","205.4578569","791608.5","791598","791613","414.98018693999995","414.98018694","414.98018694"
"396032","798317.5","798307","798322","365.5724144","365.57241439999996","365.57241439999996","798317.5","798307","798322","196.42836080000004","196.4283608","196.4283608","798317.5","798307","798322","425.54006368999995","425.54006368999995","425.54006368999995"
"399360","805025.5","805015","805030","356.0741214300001","356.0741214300001","356.0741214300001","805025.5","805015","805030","211.54050265","211.54050265","211.54050265","805025.5","805015","805030","443.51453691999995","443.51453691999995","443.51453691999995"
"402688","811734.5","811724","811739","402.5323228","402.5323228","402.5323228","811734.5","811724","811739","211.97026366999995","211.97026367","211.97026367","811734.5","811724","811739","442.63312132000004","442.63312132000004","442.63312132000004"
